year,name1,name2,score,sic1,sic2,size1,size2,gvkey1,gvkey2
1998,APPLE INC,WESTERN DIGITAL CORP,0.0657,36,35,71.7929879932574,32.29490768681651,1690,11399
1998,APPLE INC,MICROSOFT CORP,0.0601,36,73,71.7929879932574,517.3840449801288,1690,12141
1998,APPLE INC,ORACLE CORP,0.0355,36,73,71.7929879932574,188.44100502544555,1690,12142
1998,AT&T INC,US CELLULAR CORP,0.0761,48,48,324.1423558793266,57.620291564690994,9899,14369
1998,EBAY INC,MICROSOFT CORP,0.0281,73,73,98.54459016100274,517.3840449801288,114524,12141
1998,EBAY INC,INTUIT INC,0.0853,73,73,98.54459016100274,54.324672111297645,114524,27928
1998,INTUIT INC,MICROSOFT CORP,0.0536,73,73,54.324672111297645,517.3840449801288,27928,12141
1998,INTUIT INC,ORACLE CORP,0.0015,73,73,54.324672111297645,188.44100502544555,27928,12142
1998,INTUIT INC,EBAY INC,0.0853,73,73,54.324672111297645,98.54459016100274,27928,114524
1998,MICRON TECHNOLOGY INC,WESTERN DIGITAL CORP,0.0312,36,35,69.69307713108957,32.29490768681651,7343,11399
1998,MICROSOFT CORP,APPLE INC,0.0601,73,36,517.3840449801288,71.7929879932574,12141,1690
1998,MICROSOFT CORP,WESTERN DIGITAL CORP,0.0279,73,35,517.3840449801288,32.29490768681651,12141,11399
1998,MICROSOFT CORP,ORACLE CORP,0.0953,73,73,517.3840449801288,188.44100502544555,12141,12142
1998,MICROSOFT CORP,INTUIT INC,0.0536,73,73,517.3840449801288,54.324672111297645,12141,27928
1998,MICROSOFT CORP,EBAY INC,0.0281,73,73,517.3840449801288,98.54459016100274,12141,114524
1998,ORACLE CORP,APPLE INC,0.0355,73,36,188.44100502544555,71.7929879932574,12142,1690
1998,ORACLE CORP,WESTERN DIGITAL CORP,0.0315,73,35,188.44100502544555,32.29490768681651,12142,11399
1998,ORACLE CORP,MICROSOFT CORP,0.0953,73,73,188.44100502544555,517.3840449801288,12142,12141
1998,ORACLE CORP,INTUIT INC,0.0015,73,73,188.44100502544555,54.324672111297645,12142,27928
1998,US CELLULAR CORP,AT&T INC,0.0761,48,48,57.620291564690994,324.1423558793266,14369,9899
1998,WESTERN DIGITAL CORP,APPLE INC,0.0657,35,36,32.29490768681651,71.7929879932574,11399,1690
