year,gvkey1,gvkey2,score,name1,name2
2015,27928,27928,,INTUIT INC,INTUIT INC
2016,27928,27928,,INTUIT INC,INTUIT INC
2017,27928,27928,,INTUIT INC,INTUIT INC
1998,114524,114524,,EBAY INC,EBAY INC
1999,114524,114524,,EBAY INC,EBAY INC
2000,114524,114524,,EBAY INC,EBAY INC
2001,114524,114524,,EBAY INC,EBAY INC
2002,114524,114524,,EBAY INC,EBAY INC
2003,114524,114524,,EBAY INC,EBAY INC
2004,114524,114524,,EBAY INC,EBAY INC
2005,114524,114524,,EBAY INC,EBAY INC
2006,114524,114524,,EBAY INC,EBAY INC
2007,114524,114524,,EBAY INC,EBAY INC
2008,114524,114524,,EBAY INC,EBAY INC
2009,114524,114524,,EBAY INC,EBAY INC
2010,114524,114524,,EBAY INC,EBAY INC
2011,114524,114524,,EBAY INC,EBAY INC
2012,114524,114524,,EBAY INC,EBAY INC
2013,114524,114524,,EBAY INC,EBAY INC
2014,114524,114524,,EBAY INC,EBAY INC
2015,114524,114524,,EBAY INC,EBAY INC
2016,114524,114524,,EBAY INC,EBAY INC
2017,114524,114524,,EBAY INC,EBAY INC
2002,147579,147579,,NETFLIX INC,NETFLIX INC
2003,147579,147579,,NETFLIX INC,NETFLIX INC
2004,147579,147579,,NETFLIX INC,NETFLIX INC
2005,147579,147579,,NETFLIX INC,NETFLIX INC
2006,147579,147579,,NETFLIX INC,NETFLIX INC
2007,147579,147579,,NETFLIX INC,NETFLIX INC
2008,147579,147579,,NETFLIX INC,NETFLIX INC
2009,147579,147579,,NETFLIX INC,NETFLIX INC
2010,147579,147579,,NETFLIX INC,NETFLIX INC
2011,147579,147579,,NETFLIX INC,NETFLIX INC
2012,147579,147579,,NETFLIX INC,NETFLIX INC
2013,147579,147579,,NETFLIX INC,NETFLIX INC
2014,147579,147579,,NETFLIX INC,NETFLIX INC
2015,147579,147579,,NETFLIX INC,NETFLIX INC
2016,147579,147579,,NETFLIX INC,NETFLIX INC
2017,147579,147579,,NETFLIX INC,NETFLIX INC
